,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Priority
3397,Washington,No,Basic,Bachelor,2011-01-28,Employed,M,86657,Urban,Married,103,22,51,0,1,Personal Auto,Personal L3,Offer3,Web,316.227946,Sports Car,Small,Low
3398,Washington,No,Extended,High School or Below,2011-01-22,Employed,M,84306,Suburban,Married,137,16,37,0,2,Personal Auto,Personal L3,Offer2,Agent,863.413385,SUV,Large,High
3399,California,No,Basic,College,2011-01-24,Unemployed,F,0,Suburban,Single,118,29,45,0,2,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize,High
3400,California,No,Basic,Bachelor,2011-01-05,Employed,M,47346,Suburban,Married,65,6,35,0,1,Personal Auto,Personal L3,Offer2,Call Center,312.0,Four-Door Car,Small,Low
3401,Nevada,No,Basic,Bachelor,2011-02-12,Employed,M,88545,Suburban,Married,68,25,33,0,1,Personal Auto,Personal L3,Offer3,Call Center,374.108319,Four-Door Car,Large,Low
3402,California,No,Basic,Bachelor,2011-01-31,Employed,F,52443,Suburban,Married,73,0,47,0,4,Corporate Auto,Corporate L3,Offer2,Agent,350.4,Four-Door Car,Medsize,Medium
3403,Oregon,No,Extended,Bachelor,2011-02-17,Employed,F,36084,Rural,Divorced,99,3,9,0,7,Corporate Auto,Corporate L2,Offer1,Agent,152.779038,Two-Door Car,Medsize,Medium
3404,Arizona,No,Basic,Master,2011-02-03,Employed,F,35406,Rural,Divorced,69,13,15,0,2,Corporate Auto,Corporate L3,Offer1,Agent,67.504452,Four-Door Car,Small,Medium
3405,Oregon,No,Basic,High School or Below,2011-01-17,Unemployed,F,0,Suburban,Single,74,14,43,0,4,Personal Auto,Personal L3,Offer4,Agent,712.126586,Four-Door Car,Small,Medium
3406,California,No,Extended,Bachelor,2011-01-31,Employed,M,41185,Urban,Married,99,20,6,0,1,Special Auto,Special L3,Offer2,Agent,363.613596,Four-Door Car,Medsize,Low
3407,California,No,Premium,High School or Below,2011-01-15,Employed,M,51204,Suburban,Married,181,28,23,0,2,Personal Auto,Personal L2,Offer4,Web,929.554445,Sports Car,Medsize,High
3408,Oregon,No,Basic,College,2011-02-05,Employed,F,30216,Suburban,Divorced,63,18,74,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,302.4,Four-Door Car,Medsize,Low
3409,California,No,Extended,College,2011-01-05,Medical Leave,M,10710,Suburban,Married,94,12,33,0,7,Personal Auto,Personal L2,Offer1,Branch,451.2,Two-Door Car,Small,Medium
3410,Arizona,No,Premium,College,2011-01-13,Unemployed,M,0,Suburban,Single,112,32,74,0,5,Personal Auto,Personal L3,Offer4,Call Center,806.4,Four-Door Car,Medsize,Medium
3411,Nevada,Yes,Basic,High School or Below,2011-01-24,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Personal L2,Offer2,Web,571.2,Sports Car,Medsize,High
3412,Oregon,Yes,Extended,College,2011-01-19,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Corporate Auto,Corporate L3,Offer2,Agent,725.870693,SUV,Medsize,Low
3413,Oregon,Yes,Basic,Bachelor,2011-01-26,Employed,M,25632,Suburban,Married,63,27,52,0,7,Personal Auto,Personal L3,Offer2,Call Center,351.270869,Two-Door Car,Medsize,Medium
3414,Oregon,No,Extended,High School or Below,2011-01-10,Unemployed,F,0,Suburban,Single,99,13,87,0,1,Personal Auto,Personal L3,Offer1,Web,960.0,Four-Door Car,Medsize,Low
3415,Oregon,No,Basic,College,2011-01-16,Employed,F,53295,Urban,Married,70,12,97,0,8,Personal Auto,Personal L3,Offer3,Branch,250.423844,Four-Door Car,Small,Medium
3416,Oregon,No,Extended,High School or Below,2011-01-28,Unemployed,M,0,Suburban,Single,139,9,22,0,6,Personal Auto,Personal L2,Offer3,Branch,960.0,Sports Car,Medsize,High
3417,Oregon,No,Basic,College,2011-02-13,Employed,F,37072,Suburban,Married,64,1,1,0,1,Personal Auto,Personal L3,Offer3,Call Center,307.2,Four-Door Car,Large,Low
3418,Washington,Yes,Extended,College,2011-02-01,Employed,F,61108,Rural,Divorced,89,22,93,0,2,Personal Auto,Personal L1,Offer2,Agent,49.451117,Four-Door Car,Medsize,High
3419,California,No,Extended,High School or Below,2011-01-31,Employed,M,79880,Suburban,Married,79,22,68,0,7,Personal Auto,Personal L3,Offer2,Branch,568.8,Two-Door Car,Medsize,Medium
3420,Washington,No,Basic,Master,2011-02-25,Employed,M,81580,Suburban,Divorced,101,2,56,0,6,Personal Auto,Personal L3,Offer2,Web,633.439417,SUV,Medsize,High
3421,Arizona,No,Extended,High School or Below,2011-02-08,Unemployed,F,0,Suburban,Married,92,7,75,0,1,Personal Auto,Personal L2,Offer4,Agent,611.844584,Two-Door Car,Medsize,Low
3422,Arizona,Yes,Extended,Master,2011-02-17,Retired,F,19614,Suburban,Married,85,21,32,0,2,Personal Auto,Personal L3,Offer2,Agent,574.024018,Two-Door Car,Medsize,High
3423,California,No,Basic,High School or Below,2011-01-27,Employed,M,58620,Urban,Divorced,68,8,60,0,1,Personal Auto,Personal L3,Offer2,Branch,292.135884,Two-Door Car,Large,Low
3424,California,No,Extended,High School or Below,2011-01-04,Unemployed,F,0,Suburban,Single,212,28,51,0,4,Personal Auto,Personal L3,Offer3,Agent,960.0,Luxury SUV,Large,High
3425,Arizona,Yes,Extended,College,2011-02-14,Retired,F,12902,Suburban,Divorced,139,3,51,0,1,Personal Auto,Personal L2,Offer1,Agent,667.2,Sports Car,Medsize,Medium
3426,Oregon,No,Extended,Bachelor,2011-02-04,Employed,F,26318,Suburban,Married,96,23,29,0,1,Personal Auto,Personal L1,Offer2,Call Center,679.392372,Two-Door Car,Medsize,Low
3427,Oregon,No,Basic,Bachelor,2011-01-02,Retired,M,20263,Suburban,Single,63,31,2,0,7,Personal Auto,Personal L3,Offer1,Agent,373.454457,Four-Door Car,Small,Low
3428,Oregon,No,Extended,Bachelor,2011-01-24,Unemployed,F,0,Urban,Married,98,27,47,0,1,Personal Auto,Personal L3,Offer2,Web,310.842085,Four-Door Car,Medsize,Low
3429,Arizona,No,Extended,College,2011-02-16,Employed,M,52819,Rural,Divorced,124,16,89,0,1,Personal Auto,Personal L1,Offer1,Branch,282.500791,SUV,Medsize,Medium
3430,Oregon,No,Basic,College,2011-02-07,Employed,F,63918,Suburban,Single,64,4,14,0,2,Personal Auto,Personal L1,Offer3,Agent,307.2,Four-Door Car,Small,High
3431,Oregon,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Divorced,66,11,60,0,3,Personal Auto,Personal L1,Offer3,Call Center,316.8,Four-Door Car,Small,Medium
3432,Oregon,Yes,Extended,Bachelor,2011-02-27,Retired,F,23904,Suburban,Single,123,1,67,0,1,Corporate Auto,Corporate L3,Offer1,Agent,590.4,SUV,Medsize,Low
3433,Oregon,No,Extended,College,2011-02-22,Unemployed,M,0,Urban,Married,97,10,77,0,9,Personal Auto,Personal L3,Offer3,Call Center,251.63901,Two-Door Car,Medsize,Medium
3434,Arizona,No,Basic,Master,2011-02-21,Employed,F,69736,Urban,Married,111,11,7,0,3,Personal Auto,Personal L3,Offer1,Branch,424.424732,SUV,Medsize,High
3435,California,No,Premium,Bachelor,2011-02-10,Employed,M,69700,Urban,Divorced,181,9,49,0,1,Personal Auto,Personal L2,Offer2,Web,645.921338,SUV,Medsize,Medium
3436,Arizona,Yes,Extended,College,2011-02-14,Employed,F,35482,Suburban,Married,129,21,59,0,3,Personal Auto,Personal L2,Offer1,Branch,619.2,SUV,Medsize,High
3437,Arizona,Yes,Basic,College,2011-01-24,Retired,F,14030,Suburban,Married,72,11,3,0,1,Corporate Auto,Corporate L2,Offer2,Branch,345.6,Two-Door Car,Large,Low
3438,California,No,Basic,Bachelor,2011-01-22,Employed,F,50909,Urban,Married,112,11,39,0,1,Personal Auto,Personal L3,Offer2,Branch,339.048157,SUV,Medsize,Low
3439,Arizona,No,Basic,Bachelor,2011-01-10,Employed,F,96406,Suburban,Married,69,16,64,0,8,Personal Auto,Personal L1,Offer2,Web,331.2,Two-Door Car,Medsize,Medium
3440,Oregon,No,Extended,Bachelor,2011-01-31,Employed,F,77001,Suburban,Single,85,4,58,0,3,Special Auto,Special L3,Offer2,Call Center,408.0,Four-Door Car,Medsize,Medium
3441,Oregon,No,Basic,Bachelor,2011-02-07,Unemployed,F,0,Suburban,Single,72,25,4,0,1,Personal Auto,Personal L3,Offer2,Branch,518.4,Two-Door Car,Medsize,Low
3442,California,No,Basic,Bachelor,2011-01-11,Employed,M,24732,Suburban,Divorced,67,4,49,0,1,Corporate Auto,Corporate L3,Offer2,Branch,321.6,Four-Door Car,Small,Low
3443,Oregon,Yes,Basic,College,2011-02-26,Employed,F,40864,Rural,Married,109,16,70,0,1,Personal Auto,Personal L3,Offer1,Agent,166.937747,SUV,Medsize,Low
3444,California,No,Basic,Bachelor,2011-01-11,Employed,F,43145,Suburban,Married,73,1,0,0,6,Corporate Auto,Corporate L3,Offer3,Web,516.421124,Two-Door Car,Medsize,Medium
3445,Oregon,Yes,Extended,College,2011-02-01,Employed,F,61108,Rural,Divorced,89,22,93,0,2,Corporate Auto,Corporate L1,Offer2,Agent,49.451117,Four-Door Car,Medsize,High
3446,California,No,Basic,Bachelor,2011-02-11,Employed,M,34236,Suburban,Married,70,3,87,0,8,Corporate Auto,Corporate L2,Offer1,Agent,336.0,Four-Door Car,Small,Medium
3447,Arizona,No,Extended,College,2011-02-02,Employed,M,39010,Suburban,Married,78,27,99,0,1,Personal Auto,Personal L3,Offer1,Agent,374.4,Four-Door Car,Medsize,Low
3448,California,No,Basic,High School or Below,2011-01-23,Employed,M,88867,Suburban,Single,69,6,2,0,1,Personal Auto,Personal L1,Offer3,Web,331.2,Four-Door Car,Medsize,Low
3449,California,No,Extended,Bachelor,2011-02-16,Unemployed,M,0,Urban,Married,84,0,57,0,5,Personal Auto,Personal L2,Offer3,Branch,395.740207,Four-Door Car,Medsize,Medium
3450,Washington,No,Basic,High School or Below,2011-02-13,Medical Leave,M,13908,Suburban,Married,116,12,74,0,8,Corporate Auto,Corporate L3,Offer1,Web,804.130779,SUV,Medsize,High
3451,Washington,Yes,Extended,High School or Below,2011-01-01,Unemployed,M,0,Suburban,Single,79,21,53,0,7,Personal Auto,Personal L2,Offer1,Agent,407.440238,Two-Door Car,Medsize,Medium
3452,Oregon,No,Basic,College,2011-01-25,Unemployed,F,0,Suburban,Single,64,14,91,0,2,Personal Auto,Personal L3,Offer2,Agent,415.803174,Four-Door Car,Medsize,High
3453,California,Yes,Basic,Bachelor,2011-01-31,Employed,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Personal L3,Offer3,Agent,86.461582,Four-Door Car,Medsize,High
3454,Oregon,Yes,Extended,Bachelor,2011-01-10,Medical Leave,F,13037,Suburban,Married,124,28,49,0,1,Personal Auto,Personal L3,Offer2,Agent,839.348464,SUV,Small,Low
3455,Arizona,No,Extended,Master,2011-02-06,Disabled,F,17200,Rural,Married,83,5,62,0,8,Personal Auto,Personal L2,Offer1,Branch,48.780064,Four-Door Car,Medsize,Medium
3456,Washington,No,Extended,Bachelor,2011-01-09,Employed,M,67772,Suburban,Single,82,29,27,0,2,Personal Auto,Personal L1,Offer4,Branch,502.580472,Four-Door Car,Medsize,High
3457,Oregon,No,Extended,High School or Below,2011-02-10,Employed,M,39891,Urban,Married,133,12,31,0,2,Personal Auto,Personal L3,Offer1,Agent,630.888663,SUV,Medsize,High
3458,Washington,No,Basic,Doctor,2011-02-03,Employed,F,52957,Urban,Married,112,14,92,0,1,Personal Auto,Personal L2,Offer1,Branch,425.423198,Sports Car,Medsize,Low
3459,Oregon,No,Basic,College,2011-02-27,Unemployed,F,0,Suburban,Single,108,11,84,0,3,Corporate Auto,Corporate L3,Offer1,Agent,777.6,Sports Car,Medsize,Medium
3460,Oregon,Yes,Extended,College,2011-01-06,Employed,F,93272,Urban,Married,95,3,54,0,1,Personal Auto,Personal L2,Offer2,Branch,281.110788,Four-Door Car,Medsize,Low
3461,Arizona,No,Extended,High School or Below,2011-01-23,Unemployed,M,0,Suburban,Single,207,32,96,0,1,Personal Auto,Personal L3,Offer2,Call Center,960.0,Luxury SUV,Medsize,Medium
3462,California,No,Basic,Master,2011-01-04,Employed,M,40467,Urban,Married,197,1,84,0,3,Personal Auto,Personal L2,Offer1,Agent,518.78464,Luxury SUV,Medsize,High
3463,Oregon,No,Basic,Bachelor,2011-01-20,Employed,M,30895,Suburban,Divorced,62,10,35,0,2,Personal Auto,Personal L2,Offer4,Web,297.6,Four-Door Car,Small,Medium
3464,Oregon,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,62,29,59,0,1,Personal Auto,Personal L1,Offer1,Web,446.4,Four-Door Car,Medsize,Low
3465,Oregon,No,Basic,Bachelor,2011-01-10,Employed,F,90607,Rural,Single,109,1,48,0,2,Special Auto,Special L2,Offer2,Agent,243.467617,SUV,Medsize,High
3466,Oregon,No,Basic,High School or Below,2011-02-08,Unemployed,M,0,Suburban,Single,62,12,68,0,3,Personal Auto,Personal L1,Offer3,Web,614.081483,Four-Door Car,Small,Low
3467,Arizona,No,Extended,College,2011-01-13,Employed,F,45668,Urban,Married,80,7,55,0,2,Personal Auto,Personal L3,Offer2,Branch,344.767795,Four-Door Car,Medsize,High
3468,California,No,Extended,High School or Below,2011-01-05,Unemployed,F,0,Suburban,Single,129,10,11,0,1,Personal Auto,Personal L1,Offer1,Agent,960.0,SUV,Medsize,Low
3469,California,Yes,Premium,Bachelor,2011-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Corporate Auto,Corporate L3,Offer2,Agent,960.0,Luxury Car,Medsize,High
3470,California,No,Basic,College,2011-01-16,Unemployed,F,0,Urban,Married,74,35,77,0,1,Personal Auto,Personal L3,Offer4,Call Center,299.635989,Four-Door Car,Medsize,Low
3471,California,Yes,Basic,College,2011-01-30,Unemployed,M,0,Suburban,Married,102,35,48,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,SUV,Medsize,High
3472,Oregon,No,Basic,College,2011-01-21,Employed,M,90289,Rural,Divorced,71,9,10,0,3,Personal Auto,Personal L1,Offer1,Agent,22.193348,Four-Door Car,Medsize,Medium
3473,Oregon,No,Basic,Bachelor,2011-01-17,Retired,M,29465,Suburban,Married,118,24,49,0,1,Personal Auto,Personal L3,Offer1,Web,566.4,SUV,Medsize,Low
3474,Oregon,No,Basic,Bachelor,2011-02-04,Employed,M,81893,Rural,Married,73,20,70,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,151.381353,Four-Door Car,Medsize,Low
3475,Nevada,No,Extended,High School or Below,2011-01-06,Employed,M,60613,Suburban,Single,240,3,52,0,1,Personal Auto,Personal L1,Offer4,Call Center,960.0,Luxury Car,Small,High
3476,Arizona,No,Premium,High School or Below,2011-02-21,Employed,F,60423,Rural,Married,114,23,44,0,9,Personal Auto,Personal L3,Offer1,Call Center,137.611531,Four-Door Car,Medsize,High
3477,Oregon,No,Basic,Bachelor,2011-01-20,Employed,M,27166,Suburban,Single,71,29,51,0,5,Personal Auto,Personal L3,Offer2,Web,340.8,Four-Door Car,Medsize,Medium
3478,Nevada,No,Basic,High School or Below,2011-01-13,Unemployed,F,0,Suburban,Single,196,10,38,0,1,Personal Auto,Personal L3,Offer1,Branch,960.0,Luxury SUV,Medsize,Medium
3479,Washington,No,Premium,College,2011-02-15,Unemployed,F,0,Suburban,Married,158,3,10,0,2,Special Auto,Special L3,Offer3,Agent,758.4,SUV,Small,High
3480,Washington,No,Basic,High School or Below,2011-01-27,Employed,F,62006,Suburban,Married,61,31,96,0,1,Personal Auto,Personal L2,Offer4,Agent,292.8,Four-Door Car,Large,Low
3481,Oregon,No,Basic,High School or Below,2011-02-21,Unemployed,F,0,Suburban,Single,69,2,50,0,1,Personal Auto,Personal L3,Offer4,Web,764.201478,Four-Door Car,Medsize,Low
3482,California,Yes,Extended,College,2011-02-01,Retired,F,13663,Suburban,Single,97,1,66,0,2,Corporate Auto,Corporate L3,Offer1,Branch,465.6,Four-Door Car,Small,High
3483,California,No,Basic,High School or Below,2011-02-26,Unemployed,M,0,Suburban,Married,61,27,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,292.8,Four-Door Car,Medsize,Low
3484,Arizona,No,Basic,Doctor,2011-01-23,Employed,M,97673,Urban,Single,63,21,49,0,1,Personal Auto,Personal L3,Offer4,Agent,178.762806,Four-Door Car,Medsize,Low
3485,Nevada,No,Premium,High School or Below,2011-01-21,Employed,F,96276,Urban,Married,117,33,81,0,6,Personal Auto,Personal L1,Offer1,Call Center,553.50361,Four-Door Car,Medsize,High
3486,Washington,No,Basic,High School or Below,2011-02-27,Employed,F,73847,Suburban,Married,73,34,51,0,1,Personal Auto,Personal L2,Offer2,Web,350.4,Two-Door Car,Small,Low
3487,California,No,Basic,High School or Below,2011-01-03,Employed,M,24976,Suburban,Single,72,2,60,0,3,Personal Auto,Personal L3,Offer3,Agent,566.199335,Two-Door Car,Medsize,Medium
3488,California,No,Basic,College,2011-01-05,Employed,F,33716,Suburban,Married,68,18,67,0,3,Personal Auto,Personal L2,Offer1,Agent,349.431986,Four-Door Car,Small,Medium
3489,Arizona,No,Basic,College,2011-01-25,Medical Leave,F,23480,Suburban,Single,117,6,89,0,1,Personal Auto,Personal L2,Offer3,Call Center,842.4,SUV,Medsize,Low
3490,Oregon,No,Basic,Doctor,2011-01-19,Employed,F,77221,Urban,Married,71,2,49,0,7,Personal Auto,Personal L3,Offer2,Call Center,259.591385,Four-Door Car,Medsize,Medium
3491,Nevada,Yes,Extended,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Personal Auto,Personal L2,Offer2,Agent,364.8,Four-Door Car,Small,Medium
3492,Arizona,No,Basic,Master,2011-01-16,Employed,M,40463,Suburban,Married,61,17,21,0,6,Personal Auto,Personal L3,Offer3,Branch,292.8,Four-Door Car,Small,Medium
3493,Nevada,Yes,Basic,College,2011-02-06,Employed,M,60920,Urban,Single,64,10,61,0,2,Personal Auto,Personal L2,Offer2,Agent,231.201886,Two-Door Car,Medsize,Medium
3494,Arizona,Yes,Basic,Doctor,2011-02-22,Employed,F,68931,Urban,Married,66,32,30,0,7,Special Auto,Special L2,Offer2,Branch,309.577946,Four-Door Car,Medsize,Medium
3495,Oregon,No,Basic,Bachelor,2011-02-22,Employed,F,88251,Urban,Married,68,3,2,0,3,Personal Auto,Personal L3,Offer4,Branch,267.214383,Four-Door Car,Medsize,Medium
3496,Oregon,No,Basic,College,2011-02-26,Unemployed,F,0,Suburban,Single,65,21,40,0,1,Corporate Auto,Corporate L3,Offer3,Web,468.0,Two-Door Car,Small,Low
3497,Washington,Yes,Extended,High School or Below,2011-01-12,Employed,M,26876,Suburban,Single,76,17,72,0,8,Corporate Auto,Corporate L2,Offer1,Agent,364.8,Four-Door Car,Medsize,Medium
3498,Washington,No,Extended,College,2011-02-06,Employed,M,88592,Urban,Married,76,19,1,0,2,Corporate Auto,Corporate L3,Offer1,Branch,199.79727,Four-Door Car,Large,High
3499,California,No,Premium,Bachelor,2011-01-20,Unemployed,F,0,Suburban,Married,114,1,39,0,5,Personal Auto,Personal L2,Offer1,Branch,547.2,Four-Door Car,Medsize,High
3500,Arizona,No,Basic,High School or Below,2011-02-28,Unemployed,M,0,Suburban,Divorced,103,8,75,0,1,Personal Auto,Personal L3,Offer1,Branch,642.773149,SUV,Medsize,Low
3501,Arizona,No,Extended,High School or Below,2011-02-05,Unemployed,F,0,Suburban,Single,82,0,28,0,1,Personal Auto,Personal L2,Offer1,Agent,590.4,Four-Door Car,Medsize,Low
3502,Arizona,No,Basic,Bachelor,2011-02-01,Employed,M,49136,Suburban,Divorced,64,7,95,0,1,Personal Auto,Personal L1,Offer4,Web,307.2,Four-Door Car,Medsize,Low
3503,Oregon,No,Basic,College,2011-01-11,Unemployed,M,0,Suburban,Single,68,17,66,0,3,Personal Auto,Personal L3,Offer1,Agent,722.877299,Two-Door Car,Medsize,Low
3504,Nevada,No,Basic,College,2011-02-22,Employed,M,67627,Suburban,Married,117,5,43,0,2,Corporate Auto,Corporate L2,Offer4,Call Center,561.6,SUV,Medsize,High
3505,California,Yes,Extended,College,2011-01-28,Employed,F,70263,Rural,Married,93,30,66,0,5,Personal Auto,Personal L2,Offer2,Call Center,7.345946,Two-Door Car,Small,Medium
3506,Arizona,No,Extended,College,2011-02-13,Employed,F,74126,Suburban,Married,90,14,76,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,478.751065,Two-Door Car,Medsize,Low
3507,California,No,Basic,High School or Below,2011-02-27,Employed,F,74286,Urban,Married,70,27,0,0,3,Personal Auto,Personal L1,Offer4,Agent,277.585067,Two-Door Car,Medsize,Medium
3508,Oregon,No,Basic,High School or Below,2011-01-21,Employed,F,97949,Urban,Married,112,9,13,0,1,Personal Auto,Personal L3,Offer4,Web,324.812083,SUV,Small,Low
3509,California,No,Basic,Bachelor,2011-01-21,Employed,M,41005,Suburban,Single,70,22,37,0,1,Personal Auto,Personal L1,Offer4,Branch,336.0,Four-Door Car,Medsize,Low
3510,Arizona,No,Basic,High School or Below,2011-01-06,Employed,M,29875,Suburban,Single,119,9,36,0,1,Corporate Auto,Corporate L2,Offer1,Web,571.2,Sports Car,Medsize,Low
3511,Arizona,No,Basic,Bachelor,2011-02-04,Retired,M,26121,Suburban,Single,119,12,51,0,2,Personal Auto,Personal L2,Offer1,Call Center,754.115474,SUV,Medsize,High
3512,Oregon,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,Low
3513,California,No,Basic,College,2011-01-06,Employed,M,72117,Rural,Married,70,1,98,0,2,Personal Auto,Personal L2,Offer4,Branch,106.737787,Four-Door Car,Medsize,High
3514,Oregon,Yes,Premium,High School or Below,2011-02-19,Employed,F,81872,Rural,Married,115,10,55,0,2,Corporate Auto,Corporate L2,Offer2,Web,256.43803,Four-Door Car,Medsize,High
3515,Oregon,Yes,Extended,Bachelor,2011-01-20,Employed,F,33806,Urban,Divorced,89,32,59,0,2,Corporate Auto,Corporate L3,Offer2,Web,395.729716,Four-Door Car,Medsize,High
3516,California,No,Basic,College,2011-01-18,Unemployed,M,0,Suburban,Single,106,20,51,0,1,Personal Auto,Personal L2,Offer3,Agent,763.2,SUV,Medsize,Low
3517,California,Yes,Basic,College,2011-02-11,Retired,M,10621,Suburban,Single,67,28,22,0,5,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Medsize,Low
3518,Oregon,No,Basic,Bachelor,2011-01-29,Unemployed,F,0,Suburban,Single,65,34,27,0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,Medium
3519,Oregon,No,Extended,College,2011-02-27,Employed,F,44213,Rural,Single,85,15,58,0,3,Personal Auto,Personal L3,Offer1,Branch,77.523904,Four-Door Car,Medsize,Medium
3520,California,No,Basic,Bachelor,2011-01-21,Unemployed,M,0,Suburban,Married,65,10,11,0,3,Personal Auto,Personal L1,Offer1,Call Center,366.212945,Four-Door Car,Medsize,Medium
3521,Nevada,Yes,Extended,College,2011-02-14,Retired,F,12902,Suburban,Divorced,139,3,51,0,1,Corporate Auto,Corporate L2,Offer1,Agent,667.2,Sports Car,Medsize,Medium
3522,Oregon,No,Basic,High School or Below,2011-01-15,Employed,M,78757,Urban,Married,119,8,56,0,1,Personal Auto,Personal L2,Offer4,Agent,383.797363,Sports Car,Medsize,Medium
3523,Oregon,Yes,Basic,Bachelor,2011-01-07,Unemployed,M,0,Suburban,Married,102,28,11,0,1,Personal Auto,Personal L2,Offer2,Agent,660.430456,SUV,Medsize,Low
3524,Oregon,No,Extended,High School or Below,2011-02-21,Employed,M,51833,Rural,Divorced,99,1,18,0,1,Personal Auto,Personal L3,Offer3,Agent,190.509609,Four-Door Car,Medsize,Low
3525,California,No,Extended,High School or Below,2011-02-11,Employed,F,30786,Rural,Single,90,3,5,0,2,Personal Auto,Personal L3,Offer2,Branch,28.649762,Four-Door Car,Large,High
3526,California,No,Basic,Bachelor,2011-02-26,Employed,M,76792,Suburban,Married,62,12,27,0,1,Personal Auto,Personal L2,Offer3,Agent,297.6,Four-Door Car,Medsize,Low
3527,California,No,Basic,Bachelor,2011-02-27,Employed,F,76356,Suburban,Married,71,4,61,0,1,Personal Auto,Personal L3,Offer3,Branch,340.8,Two-Door Car,Medsize,Low
3528,California,Yes,Premium,College,2011-01-19,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize,Medium
3529,Oregon,No,Extended,High School or Below,2011-02-23,Employed,M,59789,Suburban,Married,90,9,81,0,3,Personal Auto,Personal L3,Offer4,Agent,527.539078,Four-Door Car,Large,Medium
3530,Washington,No,Basic,Bachelor,2011-02-12,Employed,M,72217,Rural,Married,64,13,15,0,1,Personal Auto,Personal L2,Offer2,Branch,91.146661,Four-Door Car,Medsize,Low
3531,California,No,Premium,Bachelor,2011-01-03,Employed,F,43324,Urban,Married,101,8,17,0,2,Corporate Auto,Corporate L1,Offer2,Branch,284.667612,Two-Door Car,Medsize,High
3532,Oregon,No,Premium,Bachelor,2011-02-26,Employed,M,87502,Urban,Married,102,20,28,0,2,Personal Auto,Personal L3,Offer2,Branch,421.111226,Four-Door Car,Medsize,High
3533,California,No,Basic,High School or Below,2011-02-08,Unemployed,F,0,Suburban,Single,74,8,13,0,1,Personal Auto,Personal L3,Offer4,Web,532.8,Four-Door Car,Medsize,Low
3534,Arizona,Yes,Basic,College,2011-01-31,Employed,F,38713,Suburban,Divorced,66,31,69,0,6,Personal Auto,Personal L1,Offer2,Call Center,316.8,Four-Door Car,Medsize,Medium
3535,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,51878,Suburban,Single,66,10,16,0,2,Personal Auto,Personal L3,Offer2,Branch,316.8,Four-Door Car,Medsize,Medium
3536,Arizona,No,Basic,College,2011-02-07,Unemployed,M,0,Suburban,Married,61,9,39,0,1,Personal Auto,Personal L3,Offer2,Web,292.8,Four-Door Car,Medsize,Low
3537,California,No,Basic,College,2011-02-27,Disabled,M,28617,Suburban,Married,112,20,57,0,9,Personal Auto,Personal L2,Offer3,Agent,797.595611,SUV,Medsize,High
3538,California,No,Extended,Doctor,2011-02-02,Employed,F,75037,Rural,Married,85,5,27,0,2,Personal Auto,Personal L3,Offer2,Call Center,180.555113,Four-Door Car,Small,High
3539,Oregon,No,Premium,Bachelor,2011-02-06,Employed,F,24550,Suburban,Married,111,12,6,0,9,Personal Auto,Personal L1,Offer2,Agent,536.00374,Four-Door Car,Small,High
3540,Arizona,No,Basic,Bachelor,2011-01-17,Unemployed,F,0,Suburban,Single,64,16,62,0,6,Personal Auto,Personal L3,Offer1,Branch,460.8,Two-Door Car,Small,Low
3541,California,No,Extended,High School or Below,2011-01-07,Employed,M,55366,Suburban,Divorced,86,11,54,0,4,Personal Auto,Personal L1,Offer3,Agent,455.714395,Four-Door Car,Medsize,Medium
3542,Nevada,No,Basic,High School or Below,2011-02-15,Employed,F,41449,Suburban,Married,69,16,96,0,3,Personal Auto,Personal L1,Offer3,Branch,331.2,Two-Door Car,Medsize,Medium
3543,California,No,Basic,High School or Below,2011-01-19,Employed,M,51125,Suburban,Divorced,67,3,67,0,2,Personal Auto,Personal L3,Offer1,Agent,430.29174,Four-Door Car,Medsize,Medium
